human_gse,mouse_gse,jaccard,containment,overlap_count,shared_cuis,human_title,mouse_title
GSE71511,GSE71513,1.0,1.0,112,"['C0003463', 'C0005967', 'C0007102', 'C0007621', 'C0008493', 'C0009402', 'C0009932', 'C0015461', 'C0017255', 'C0017262', 'C0017263', 'C0017337', 'C0021852', 'C0025914', 'C0025929', 'C0026809', 'C0026882', 'C0027651', 'C0031327', 'C0031843', 'C0037088', 'C0040648', 'C0043297', 'C0079427', 'C0079429', 'C0086222', 'C0086418', 'C0153425', 'C0185117', 'C0205225', 'C0205281', 'C0221284', 'C0238196', 'C0242613', 'C0243067', 'C0243095', 'C0308718', 'C0332183', 'C0346627', 'C0401925', 'C0441712', 'C0542341', 'C0544461', 'C0545833', 'C0596263', 'C0596611', 'C0597611', 'C0598496', 'C0599220', 'C0599894', 'C0675390', 'C0677898', 'C0699790', 'C0700114', 'C0700205', 'C0851285', 'C0854069', 'C0870071', 'C1159372', 'C1160700', 'C1167092', 'C1167093', 'C1302674', 'C1315032', 'C1325410', 'C1327622', 'C1332838', 'C1333030', 'C1334278', 'C1335883', 'C1337048', 'C1337050', 'C1413131', 'C1417166', 'C1417679', 'C1420251', 'C1420631', 'C1425260', 'C1435181', 'C1510697', 'C1517486', 'C1521840', 'C1522281', 'C1524059', 'C1564654', 'C1566330', 'C1566664', 'C1705273', 'C1705285', 'C1706376', 'C1706979', 'C1879547', 'C1880287', 'C1882979', 'C2587213', 'C2607943', 'C2825141', 'C2926606', 'C3274648', 'C3539849', 'C3711796', 'C4050364', 'C4318409', 'C4477029', 'C4505109', 'C4724363', 'C5400960', 'C5401389', 'C5419559', 'C5444829', 'C5444830', 'C5446677']",ARID1A loss impairs enhancer-mediated gene regulation and drives colon cancer in mice [HCT116_RNA-seq],ARID1A loss impairs enhancer-mediated gene regulation and drives colon cancer in mice [primary cells_RNA-seq]
GSE87042,GSE87043,1.0,1.0,110,"['C0003463', 'C0004561', 'C0005967', 'C0007590', 'C0007591', 'C0007621', 'C0007634', 'C0007680', 'C0008630', 'C0011435', 'C0015461', 'C0017340', 'C0017373', 'C0023172', 'C0025914', 'C0025929', 'C0026809', 'C0027651', 'C0027882', 'C0028877', 'C0035143', 'C0035298', 'C0035331', 'C0035335', 'C0038250', 'C0040649', 'C0079424', 'C0080113', 'C0086418', 'C0144227', 'C0162493', 'C0205088', 'C0205369', 'C0205370', 'C0205396', 'C0206427', 'C0206428', 'C0242961', 'C0243037', 'C0243107', 'C0301863', 'C0370079', 'C0392747', 'C0443172', 'C0458003', 'C0459649', 'C0524983', 'C0552545', 'C0591833', 'C0596263', 'C0598494', 'C0678723', 'C0679846', 'C0694889', 'C0729333', 'C0751483', 'C0751484', 'C0751549', 'C0814002', 'C0854069', 'C0856244', 'C0870134', 'C0870411', 'C1136335', 'C1136359', 'C1155711', 'C1158770', 'C1257873', 'C1268141', 'C1300203', 'C1335884', 'C1336564', 'C1413131', 'C1413336', 'C1413337', 'C1417166', 'C1511726', 'C1513384', 'C1516924', 'C1522730', 'C1527148', 'C1546437', 'C1550043', 'C1552740', 'C1655731', 'C1657115', 'C1704913', 'C1705314', 'C1705315', 'C1707719', 'C1709625', 'C1819048', 'C2262776', 'C2755041', 'C2986743', 'C2986744', 'C3245479', 'C3540014', 'C3714741', 'C3714787', 'C3828338', 'C3850096', 'C3858752', 'C3899739', 'C4308074', 'C4318409', 'C4329794', 'C4727083', 'C5236074', 'C5690905']","The Dynamic Epigenetic Landscape of the Retina During Development, Reprogramming, and Tumorigenesis [RNA-Seq_Hs]","The Dynamic Epigenetic Landscape of the Retina During Development, Reprogramming, and Tumorigenesis [RNA-Seq_Mm]"
GSE103658,GSE103725,1.0,1.0,101,"['C0001792', 'C0002976', 'C0015609', 'C0017262', 'C0019409', 'C0025202', 'C0025361', 'C0025914', 'C0025929', 'C0026809', 'C0039484', 'C0039798', 'C0041904', 'C0086418', 'C0087111', 'C0151779', 'C0162415', 'C0185117', 'C0205179', 'C0205195', 'C0206735', 'C0237834', 'C0242960', 'C0302600', 'C0332161', 'C0333348', 'C0349538', 'C0392747', 'C0442043', 'C0443172', 'C0543478', 'C0591833', 'C0599946', 'C0679846', 'C0683598', 'C0752248', 'C0796561', 'C0805525', 'C0877373', 'C0924206', 'C0935456', 'C0965743', 'C1257776', 'C1257975', 'C1264633', 'C1279919', 'C1279941', 'C1302746', 'C1326956', 'C1334699', 'C1367482', 'C1413131', 'C1417166', 'C1425745', 'C1442099', 'C1513143', 'C1514544', 'C1514562', 'C1514892', 'C1515926', 'C1516448', 'C1516710', 'C1517945', 'C1521726', 'C1521970', 'C1522326', 'C1533734', 'C1554103', 'C1609982', 'C1705169', 'C1705357', 'C1705358', 'C1706388', 'C1879753', 'C1947911', 'C1999216', 'C2249734', 'C2346469', 'C2348519', 'C2362314', 'C2911684', 'C2936194', 'C2936263', 'C3178810', 'C3178844', 'C3179204', 'C3811910', 'C3826426', 'C3830361', 'C3838813', 'C3854321', 'C3894549', 'C4235501', 'C4318409', 'C4521853', 'C4699379', 'C4723835', 'C4727081', 'C5202624', 'C5202892', 'C5575501']",Expression changes in Melanomas pre MAPKi treatment vs. on MAPKi treatment (RNA-seq_Patient.batch3),Expression changes in Melanomas pre MAPKi treatment vs. on MAPKi treatment [Y1.7.FPKM.batch1.2]
GSE77702,GSE77703,1.0,1.0,96,"['C0002736', 'C0005456', 'C0005574', 'C0008972', 'C0009585', 'C0009586', 'C0017262', 'C0017387', 'C0025360', 'C0025519', 'C0025520', 'C0026609', 'C0026610', 'C0027361', 'C0027765', 'C0027884', 'C0030705', 'C0031227', 'C0032659', 'C0033684', 'C0035668', 'C0035687', 'C0038164', 'C0039421', 'C0039431', 'C0042075', 'C0079399', 'C0085084', 'C0085268', 'C0086582', 'C0162340', 'C0185117', 'C0205422', 'C0236642', 'C0237401', 'C0268696', 'C0332290', 'C0333668', 'C0338451', 'C0392760', 'C0441712', 'C0443331', 'C0521115', 'C0531051', 'C0557651', 'C0597297', 'C0600493', 'C0600600', 'C0600680', 'C0682969', 'C0683143', 'C0752188', 'C0752190', 'C0752235', 'C0872079', 'C0947630', 'C1145667', 'C1158769', 'C1167622', 'C1279941', 'C1314939', 'C1414860', 'C1420306', 'C1420573', 'C1420588', 'C1456383', 'C1517945', 'C1521713', 'C1521746', 'C1524026', 'C1524057', 'C1550655', 'C1704945', 'C1705908', 'C1705923', 'C1706376', 'C1822695', 'C1853237', 'C1862939', 'C1879646', 'C1880156', 'C2347852', 'C2603343', 'C2610186', 'C2699749', 'C2911684', 'C2931786', 'C3245468', 'C3854321', 'C4041990', 'C4043426', 'C4699379', 'C4760636', 'C5544415', 'C5575473', 'C5575508']","Distinct and shared functions of ALS-associated TDP-43, FUS, and TAF15 revealed by comprehensive multi-system integrative analyses [RNA-Seq_human]","Distinct and shared functions of ALS-associated TDP-43, FUS, and TAF15 revealed by comprehensive multi-system integrative analyses [RNA-Seq_mouse]"
GSE77704,GSE77703,1.0,1.0,96,"['C0002736', 'C0005456', 'C0005574', 'C0008972', 'C0009585', 'C0009586', 'C0017262', 'C0017387', 'C0025360', 'C0025519', 'C0025520', 'C0026609', 'C0026610', 'C0027361', 'C0027765', 'C0027884', 'C0030705', 'C0031227', 'C0032659', 'C0033684', 'C0035668', 'C0035687', 'C0038164', 'C0039421', 'C0039431', 'C0042075', 'C0079399', 'C0085084', 'C0085268', 'C0086582', 'C0162340', 'C0185117', 'C0205422', 'C0236642', 'C0237401', 'C0268696', 'C0332290', 'C0333668', 'C0338451', 'C0392760', 'C0441712', 'C0443331', 'C0521115', 'C0531051', 'C0557651', 'C0597297', 'C0600493', 'C0600600', 'C0600680', 'C0682969', 'C0683143', 'C0752188', 'C0752190', 'C0752235', 'C0872079', 'C0947630', 'C1145667', 'C1158769', 'C1167622', 'C1279941', 'C1314939', 'C1414860', 'C1420306', 'C1420573', 'C1420588', 'C1456383', 'C1517945', 'C1521713', 'C1521746', 'C1524026', 'C1524057', 'C1550655', 'C1704945', 'C1705908', 'C1705923', 'C1706376', 'C1822695', 'C1853237', 'C1862939', 'C1879646', 'C1880156', 'C2347852', 'C2603343', 'C2610186', 'C2699749', 'C2911684', 'C2931786', 'C3245468', 'C3854321', 'C4041990', 'C4043426', 'C4699379', 'C4760636', 'C5544415', 'C5575473', 'C5575508']","Distinct and shared functions of ALS-associated TDP-43, FUS, and TAF15 revealed by comprehensive multi-system integrative analyses [RNA-Seq_Stability]","Distinct and shared functions of ALS-associated TDP-43, FUS, and TAF15 revealed by comprehensive multi-system integrative analyses [RNA-Seq_mouse]"
GSE81148,GSE81149,1.0,1.0,93,"['C0007593', 'C0007600', 'C0008546', 'C0008976', 'C0011381', 'C0012403', 'C0016640', 'C0017263', 'C0021467', 'C0021469', 'C0022827', 'C0023418', 'C0026336', 'C0026809', 'C0034770', 'C0040649', 'C0040661', 'C0041904', 'C0085669', 'C0087111', 'C0162493', 'C0205161', 'C0205245', 'C0205474', 'C0220825', 'C0235939', 'C0241665', 'C0302891', 'C0333562', 'C0392762', 'C0441712', 'C0524811', 'C0542341', 'C0591833', 'C0680022', 'C0808232', 'C0851285', 'C0872252', 'C0876936', 'C0877858', 'C0887909', 'C0920321', 'C0948976', 'C1096775', 'C1145667', 'C1148674', 'C1154415', 'C1156200', 'C1156284', 'C1158770', 'C1158817', 'C1158830', 'C1167622', 'C1176019', 'C1323350', 'C1325550', 'C1326294', 'C1327622', 'C1328819', 'C1422073', 'C1428431', 'C1448198', 'C1510620', 'C1511331', 'C1511726', 'C1512140', 'C1514583', 'C1546437', 'C1550458', 'C1551024', 'C1552009', 'C1628982', 'C1705162', 'C1706376', 'C2610645', 'C2613318', 'C2698041', 'C2699893', 'C2700217', 'C2754017', 'C2755658', 'C2930586', 'C3161031', 'C3161035', 'C3245479', 'C3271585', 'C3463820', 'C3463824', 'C3658215', 'C3714741', 'C4021789', 'C5379843', 'C5417695']",RNASeq of MV4;11 cells transduced with scramble shRNA or BRD4 shRNA in combination with DMSO or SGC0946,RNASeq of MLL-AF9 cells transduced with scramle shRNA or BRD4 shRNA in combination with DMSO or SGC0946
GSE102902,GSE102903,1.0,1.0,66,"['C0002736', 'C0003209', 'C0004112', 'C0011381', 'C0021368', 'C0025360', 'C0026336', 'C0030705', 'C0031327', 'C0037080', 'C0037083', 'C0086418', 'C0086982', 'C0149784', 'C0205263', 'C0221099', 'C0237820', 'C0253050', 'C0333348', 'C0441712', 'C0521390', 'C0871161', 'C0871261', 'C0876936', 'C0907533', 'C1155393', 'C1290884', 'C1292721', 'C1327441', 'C1366441', 'C1367307', 'C1414860', 'C1420306', 'C1444748', 'C1456383', 'C1510620', 'C1515999', 'C1524059', 'C1530116', 'C1550443', 'C1550655', 'C1555688', 'C1621636', 'C1704632', 'C1704819', 'C1704945', 'C1705908', 'C1706376', 'C1706817', 'C1706979', 'C1822695', 'C1862939', 'C1879547', 'C2004454', 'C2717959', 'C2911692', 'C2931786', 'C3161035', 'C3665347', 'C3844738', 'C3853572', 'C3875321', 'C4086634', 'C4318409', 'C4505109', 'C5575508']","Neuronal EphB1 induces STAT3 activation in astrocytes, which is impaired in ALS models [Hs]","Neuronal EphB1 induces STAT3 activation in astrocytes, which is impaired in ALS models [Mm]"
GSE95516,GSE85627,1.0,1.0,49,"['C0008546', 'C0008922', 'C0010813', 'C0017262', 'C0025914', 'C0025929', 'C0026809', 'C0029047', 'C0086418', 'C0185117', 'C0449774', 'C0591833', 'C0596311', 'C0600401', 'C0870781', 'C1145667', 'C1148674', 'C1158770', 'C1158800', 'C1167622', 'C1317909', 'C1323350', 'C1325550', 'C1327302', 'C1331371', 'C1336788', 'C1414197', 'C1446949', 'C1455722', 'C1514925', 'C1515877', 'C1538256', 'C1710463', 'C1849394', 'C1879547', 'C2610645', 'C2911684', 'C3470535', 'C3853838', 'C3854321', 'C3887511', 'C3890878', 'C4318409', 'C4553518', 'C4699379', 'C5203057', 'C5203058', 'C5203059', 'C5203061']",Conserved roles for murine mDUX and human DUX4 in activating cleavage stage genes and MERVL/HERVL retrotransposons [RNA-Seq Human],Conserved roles for murine mDUX and human DUX4 in activating cleavage stage genes and MERVL/HERVL retrotransposons [RNA-Seq Mouse]
GSE105137,GSE105138,1.0,1.0,23,"['C0001272', 'C0205216', 'C0334094', 'C0392756', 'C0442797', 'C0456984', 'C0580413', 'C0596290', 'C0752248', 'C1327760', 'C1424723', 'C1428785', 'C1449575', 'C1513400', 'C1514485', 'C1531135', 'C2350567', 'C2698855', 'C3244125', 'C3245505', 'C4528292', 'C4723647', 'C5552813']",Gene Expression Profiling of melanoma cell lines after shRNA-mediated knockdown of JMJD2C or LSD1,Gene Expression Profiling of one melanoma cell line after shRNA-mediated knockdown of JMJD2C or LSD1
GSE81328,GSE81329,1.0,1.0,21,"['C0005961', 'C0005976', 'C0023467', 'C0026336', 'C0026339', 'C0026809', 'C0029017', 'C0194037', 'C0215508', 'C0591833', 'C0842093', 'C1335654', 'C1417106', 'C1435548', 'C1705326', 'C3161035', 'C3542427', 'C3714583', 'C3853906', 'C4329462', 'C5668307']",MEIS2 is a novel oncogenic partner in AML1-ETO positive AML [RNA-Seq human],MEIS2 is a novel oncogenic partner in AML1-ETO positive AML [RNA-Seq mouse]
